epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1388,0.87365,3.14645,1.44614,0.00133,1,0.13267,0.04075,0.72064,4.94035,1.36931,2e-05,2e-05,2e-05
2,25.6963,0.6082,2.94819,1.25327,0.00133,1,0.14746,0.08414,0.40874,4.61518,1.15302,5.9406e-05,5.9406e-05,5.9406e-05
3,36.9925,0.28635,2.74541,1.12959,0.00133,1,0.31158,0.26427,0.27016,4.44765,0.94436,9.802e-05,9.802e-05,9.802e-05
4,48.2589,0.21729,2.92959,1.03083,0.00133,1,0.69305,0.64068,0.24867,4.37947,0.87587,0.000135842,0.000135842,0.000135842
5,59.3203,0.21912,2.1105,0.95531,0.00133,1,0.44763,0.37538,0.17851,4.3229,0.74511,0.000172872,0.000172872,0.000172872
6,70.2973,0.23931,2.03151,0.98783,0.00133,1,0.58126,0.4938,0.21419,4.35744,0.76282,0.00020911,0.00020911,0.00020911
7,81.3988,0.23663,1.96098,1.02165,0.00133,1,0.24031,0.23188,0.42103,4.60356,0.87437,0.000244556,0.000244556,0.000244556
8,92.5598,0.25368,1.32417,0.96056,0.00133,1,0.27122,0.23893,0.41032,4.4892,0.96324,0.00027921,0.00027921,0.00027921
9,103.959,0.25014,1.27111,0.99791,0.00133,1,0.54857,0.52718,0.33225,4.37194,0.91262,0.000313072,0.000313072,0.000313072
10,117.408,0.24358,1.89227,0.93514,0.00133,1,0.995,0.94503,0.33318,4.18503,0.88575,0.000346142,0.000346142,0.000346142
11,128.699,0.24503,1.63893,0.92656,0.00356,1,0.995,0.84553,0.37052,4.18973,0.84465,0.00037842,0.00037842,0.00037842
12,140.436,0.23398,1.31517,0.95516,0.00133,1,0.995,0.90164,0.33812,4.1914,0.83673,0.000409906,0.000409906,0.000409906
13,151.948,0.22029,1.31635,0.94475,0.00133,1,0.995,0.95139,0.28952,4.20347,0.80497,0.0004406,0.0004406,0.0004406
14,163.721,0.21104,1.11634,0.91555,0.28336,1,0.995,0.945,0.23753,4.25427,0.75625,0.000470502,0.000470502,0.000470502
15,175.509,0.2066,1.18324,0.90781,1,0.58743,0.995,0.96376,0.24558,4.17323,0.72882,0.000499612,0.000499612,0.000499612
16,187.034,0.21834,1.05524,0.94099,0.62514,1,0.895,0.895,0.26319,4.33947,0.73204,0.00052793,0.00052793,0.00052793
17,198.97,0.22172,1.02951,0.96521,0.56612,1,0.56857,0.54366,0.30879,4.20845,0.813,0.000555456,0.000555456,0.000555456
18,212.092,0.2422,1.13225,0.97238,0.44218,1,0.68786,0.52666,0.43824,4.49423,0.9969,0.00058219,0.00058219,0.00058219
19,224.42,0.21391,1.0146,0.91254,0.3248,1,0.398,0.23884,0.75623,4.55627,1.43152,0.000608132,0.000608132,0.000608132
20,236.441,0.25861,0.99012,0.91973,0.24651,0.5,0.3025,0.08375,1.72626,5.9154,2.2177,0.000633282,0.000633282,0.000633282
21,248.55,0.20271,1.18789,0.8829,0.35806,1,0.398,0.15172,1.51556,5.83402,2.30884,0.00065764,0.00065764,0.00065764
22,260.676,0.26588,1.2147,0.98983,0.40982,1,0.46972,0.27965,1.17589,4.76499,1.96968,0.000681206,0.000681206,0.000681206
23,272.714,0.24702,1.11099,0.92999,1,0.96261,0.995,0.71429,0.9308,4.81182,1.52567,0.00070398,0.00070398,0.00070398
24,285.189,0.23941,1.04441,0.88092,1,0.74085,0.945,0.74662,0.87521,4.33155,1.62238,0.000725962,0.000725962,0.000725962
25,297.711,0.25838,1.15314,0.92833,1,0.71074,0.83591,0.60183,0.87942,4.15646,1.61087,0.000747152,0.000747152,0.000747152
26,309.929,0.26268,1.1165,0.94752,0.51113,0.75,0.6331,0.54408,0.77431,4.25475,1.56518,0.00076755,0.00076755,0.00076755
27,321.97,0.30356,1.0264,0.98374,0.87375,0.75,0.88786,0.70933,0.69601,3.76324,1.49546,0.000787156,0.000787156,0.000787156
