epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55143,2.47412,4.39847,3.07414,0.04349,0.33333,0.05062,0.01712,1.80052,4.4581,3.52694,0,0,0
2,20.0479,2.14481,4.10944,2.73487,0.0557,0.33333,0.08808,0.03208,1.66998,3.86987,3.50617,1.9802e-05,1.9802e-05,1.9802e-05
3,30.3336,2.02004,3.09623,2.56875,0.24937,0.66667,0.27117,0.15287,1.5699,4.05829,3.40933,3.9208e-05,3.9208e-05,3.9208e-05
4,40.7457,1.98895,2.73599,2.66725,0.94277,1,0.995,0.41844,1.71226,5.85763,3.32884,5.8218e-05,5.8218e-05,5.8218e-05
5,50.8914,1.83107,2.54426,2.3859,0.95653,1,0.995,0.42236,1.65546,10.0975,3.24106,7.6832e-05,7.6832e-05,7.6832e-05
6,61.1966,1.77135,2.31904,2.38546,0.9276,1,0.995,0.3273,1.90786,13.9421,3.37825,9.505e-05,9.505e-05,9.505e-05
7,72.2784,1.52026,2.41154,2.1296,0.69682,1,0.9125,0.2768,2.20449,14.732,3.64639,0.000112872,0.000112872,0.000112872
8,83.1525,1.73384,1.91942,2.12053,0.59948,0.66667,0.69643,0.26151,2.36378,12.188,3.67279,0.000130298,0.000130298,0.000130298
9,93.598,1.38854,1.83944,1.7675,0.57597,0.66667,0.67875,0.2845,2.20447,11.22,3.53388,0.000147328,0.000147328,0.000147328
10,105.448,1.4824,2.12639,2.00418,0.73358,0.93431,0.83,0.37745,1.55153,13.8902,2.71216,0.000163962,0.000163962,0.000163962
11,115.647,1.20304,1.66447,1.69289,0.73126,0.92504,0.9125,0.46676,1.51368,13.0262,2.5743,0.0001802,0.0001802,0.0001802
12,126.313,1.37237,1.78295,1.79433,0.72733,1,0.9125,0.45499,1.44864,10.324,2.47681,0.000196042,0.000196042,0.000196042
13,136.8,1.07861,1.58496,1.60277,0.72546,1,0.9125,0.46219,1.44425,9.0863,2.5579,0.000211488,0.000211488,0.000211488
14,147.216,1.11922,1.40725,1.45647,0.5691,1,0.753,0.33032,1.2105,7.56064,2.16678,0.000226538,0.000226538,0.000226538
15,157.682,1.05036,1.35926,1.51535,0.5555,1,0.597,0.25268,1.23848,6.5569,2.14319,0.000241192,0.000241192,0.000241192
16,168.106,0.86134,1.2555,1.36933,0.43243,0.66667,0.4975,0.15719,2.42701,4.94518,3.52457,0.00025545,0.00025545,0.00025545
17,178.712,0.9799,1.13457,1.32972,0.49666,0.65998,0.33287,0.16106,2.41535,4.30125,3.84163,0.000269312,0.000269312,0.000269312
18,189.261,0.84658,1.01813,1.413,0.49666,0.65998,0.33287,0.16106,2.41535,4.30125,3.84163,0.000282778,0.000282778,0.000282778
19,199.58,0.80003,1.13273,1.34083,0.98385,1,0.995,0.39468,1.82119,2.37191,3.2754,0.000295848,0.000295848,0.000295848
20,209.701,0.94642,1.33979,1.52839,0.98385,1,0.995,0.39468,1.82119,2.37191,3.2754,0.000308522,0.000308522,0.000308522
21,221.969,0.77589,1.02073,1.32079,1,0.99924,0.995,0.59745,1.30064,2.03527,2.46093,0.0003208,0.0003208,0.0003208
22,234.402,1.04673,1.26624,1.49795,1,0.99924,0.995,0.59745,1.30064,2.03527,2.46093,0.000332682,0.000332682,0.000332682
23,247.112,1.08055,1.24847,1.37283,0.9424,1,0.995,0.61457,1.04912,2.42619,2.1486,0.000344168,0.000344168,0.000344168
24,259.85,0.90885,1.01019,1.47492,0.9424,1,0.995,0.61457,1.04912,2.42619,2.1486,0.000355258,0.000355258,0.000355258
25,273.371,0.94423,0.92139,1.45057,0.96115,1,0.995,0.66366,1.04036,2.09953,1.90293,0.000365952,0.000365952,0.000365952
26,287.829,0.63267,0.78502,1.15979,0.96115,1,0.995,0.66366,1.04036,2.09953,1.90293,0.00037625,0.00037625,0.00037625
27,300.782,0.60237,0.72408,1.13261,0.97637,1,0.995,0.75532,1.00044,2.15376,1.82213,0.000386152,0.000386152,0.000386152
28,313.697,0.57825,0.75535,1.11522,0.97637,1,0.995,0.75532,1.00044,2.15376,1.82213,0.000395658,0.000395658,0.000395658
29,326.337,0.63919,0.80682,1.10562,0.90997,1,0.995,0.76332,0.90698,1.77911,1.75448,0.000404768,0.000404768,0.000404768
30,338.573,0.66681,0.6876,1.14196,0.90997,1,0.995,0.76332,0.90698,1.77911,1.75448,0.000413482,0.000413482,0.000413482
31,351.881,0.6216,0.80411,1.25547,0.84883,1,0.995,0.71386,0.9431,2.70879,1.81196,0.0004218,0.0004218,0.0004218
32,365.122,0.67715,0.67819,1.14815,0.84883,1,0.995,0.71386,0.9431,2.70879,1.81196,0.000429722,0.000429722,0.000429722
33,379.233,0.72067,0.68707,1.25429,0.743,1,0.995,0.69988,0.84171,2.02876,1.63719,0.000437248,0.000437248,0.000437248
34,391.71,0.65785,0.68531,1.18602,0.743,1,0.995,0.69988,0.84171,2.02876,1.63719,0.000444378,0.000444378,0.000444378
35,406.75,0.68645,0.69155,1.21377,0.74649,1,0.995,0.70996,0.91551,1.90166,1.73417,0.000451112,0.000451112,0.000451112
36,426.413,0.72588,0.68899,1.17595,0.74649,1,0.995,0.70996,0.91551,1.90166,1.73417,0.00045745,0.00045745,0.00045745
37,441.417,0.76604,0.83907,1.17203,0.74199,1,0.995,0.73721,0.91247,1.96049,1.64647,0.000463392,0.000463392,0.000463392
38,455.101,0.64848,0.68657,1.14107,0.74199,1,0.995,0.73721,0.91247,1.96049,1.64647,0.000468938,0.000468938,0.000468938
39,467.791,0.87756,0.85372,1.32575,0.73909,1,0.995,0.77981,0.73751,2.19424,1.35096,0.000474088,0.000474088,0.000474088
40,480.69,0.70272,0.64811,1.21295,0.73909,1,0.995,0.77981,0.73751,2.19424,1.35096,0.000478842,0.000478842,0.000478842
41,495.476,0.64362,0.64968,1.22123,0.70418,1,0.995,0.8955,0.52246,2.61492,1.10453,0.0004832,0.0004832,0.0004832
42,508.644,0.53698,0.62351,1.07126,0.70418,1,0.995,0.8955,0.52246,2.61492,1.10453,0.000487162,0.000487162,0.000487162
43,521.742,0.68347,0.66103,1.20006,0.58922,1,0.995,0.8404,0.4827,3.58999,1.06676,0.000490728,0.000490728,0.000490728
44,534.715,0.56625,0.70449,1.14851,0.58922,1,0.995,0.8404,0.4827,3.58999,1.06676,0.000493898,0.000493898,0.000493898
45,545.715,0.7542,0.82041,1.27148,0.90681,1,0.995,0.82957,0.76464,1.28144,1.58032,0.000496672,0.000496672,0.000496672
46,556.337,0.67124,0.92167,1.13989,0.90681,1,0.995,0.82957,0.76464,1.28144,1.58032,0.00049905,0.00049905,0.00049905
47,567.508,0.57778,0.82104,1.08343,0.97056,1,0.995,0.80767,0.79066,1.03116,1.65204,0.000501032,0.000501032,0.000501032
48,580.139,0.68523,0.77744,1.12597,0.97056,1,0.995,0.80767,0.79066,1.03116,1.65204,0.000502618,0.000502618,0.000502618
49,591.482,0.62676,0.63203,1.14292,0.98475,1,0.995,0.85159,0.67471,1.21775,1.35209,0.000503808,0.000503808,0.000503808
50,601.88,0.62545,0.61214,1.13643,0.98475,1,0.995,0.85159,0.67471,1.21775,1.35209,0.000504602,0.000504602,0.000504602
51,612.267,0.53973,0.61581,1.06675,0.9866,1,0.995,0.86289,0.5688,1.25323,1.1752,0.000505,0.000505,0.000505
52,623.272,0.65712,0.69129,1.2422,0.9866,1,0.995,0.86289,0.5688,1.25323,1.1752,0.000505002,0.000505002,0.000505002
53,634.162,0.52918,0.51258,1.05168,0.9866,1,0.995,0.86289,0.5688,1.25323,1.1752,0.000504608,0.000504608,0.000504608
54,645.412,0.53416,0.56366,1.09289,0.98049,1,0.995,0.86291,0.51785,1.04766,1.08039,0.000503818,0.000503818,0.000503818
55,656.953,0.60876,0.52139,1.11831,0.98049,1,0.995,0.86291,0.51785,1.04766,1.08039,0.000502632,0.000502632,0.000502632
56,668.847,0.5754,0.6212,1.23646,0.98049,1,0.995,0.86291,0.51785,1.04766,1.08039,0.00050105,0.00050105,0.00050105
57,682.294,0.50421,0.51484,1.06404,0.91842,1,0.995,0.90679,0.46577,1.02728,0.98864,0.000499072,0.000499072,0.000499072
58,693.59,0.51033,0.5217,1.04241,0.91842,1,0.995,0.90679,0.46577,1.02728,0.98864,0.000496698,0.000496698,0.000496698
59,705.435,0.81477,0.74472,1.44035,0.91842,1,0.995,0.90679,0.46577,1.02728,0.98864,0.000493928,0.000493928,0.000493928
60,717.897,0.56791,0.65261,1.0781,0.93757,1,0.995,0.90679,0.46106,1.38374,0.97946,0.000490762,0.000490762,0.000490762
61,730.346,0.60442,0.53619,1.12904,0.93757,1,0.995,0.90679,0.46106,1.38374,0.97946,0.0004872,0.0004872,0.0004872
