epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5647,0.46949,12.4228,0.95414,0.00301,1,0.20708,0.11823,0.30968,2.42714,0.65801,0.08218,0.00018,0.00018
2,121.944,0.27368,3.95403,0.81468,0.00569,1,0.20071,0.11042,0.77073,2.06218,1.02225,0.0633682,0.000368168,0.000368168
3,178.726,0.30937,3.9117,0.81303,0.01108,1,0.13052,0.05494,0.73926,2.04015,1.14094,0.0445545,0.000554456,0.000554456
4,234.682,0.52892,3.27174,1.08452,0.01843,1,0.11812,0.06582,0.71119,1.93012,1.18317,0.0257389,0.000738862,0.000738862
5,289.678,0.52359,2.84672,1.04237,0.02312,1,0.05575,0.01791,1.28813,2.07354,1.73437,0.00692139,0.000921388,0.000921388
6,342.938,0.41149,3.44065,0.80403,0.05882,1,0.09445,0.05566,0.51343,2.10202,0.86827,0.00097525,0.00097525,0.00097525
7,401.877,0.73355,2.79542,1.27686,0.02663,0.75,0.13528,0.05753,0.8669,1.53746,1.3402,0.0009703,0.0009703,0.0009703
8,477.352,0.78513,2.64312,1.49562,0.00514,0.75,0.05388,0.03061,0.89587,1.60226,1.35235,0.00096535,0.00096535,0.00096535
9,533.71,0.45721,3.04036,0.96847,0.04925,0.5,0.05507,0.0276,0.53757,1.73311,0.85107,0.0009604,0.0009604,0.0009604
10,589.924,0.40834,2.69657,1.01846,0.0056,1,0.05169,0.02062,0.38265,2.22368,0.79393,0.00095545,0.00095545,0.00095545
11,646.422,0.51881,2.95539,1.07844,0.00703,1,0.03357,0.02915,0.34789,1.76422,0.75704,0.0009505,0.0009505,0.0009505
12,702.171,0.43195,3.33015,0.7834,0.02462,1,0.12575,0.1118,0.31863,1.42997,0.68376,0.00094555,0.00094555,0.00094555
13,759.361,0.48489,2.81748,1.05161,0.00539,1,0.16011,0.15103,0.31158,1.49747,0.67473,0.0009406,0.0009406,0.0009406
14,815.844,0.74234,3.38748,1.05592,0.05409,1,0.21412,0.1879,0.43358,1.70917,0.94537,0.00093565,0.00093565,0.00093565
15,872.051,0.50931,2.87326,1.0238,0.0082,1,0.06826,0.04403,0.64321,1.77453,1.23526,0.0009307,0.0009307,0.0009307
16,928.922,0.44605,2.82352,0.92531,0.01117,1,0.21439,0.10478,0.47422,1.75758,0.75052,0.00092575,0.00092575,0.00092575
17,986.232,0.53165,2.88125,1.00834,0.01282,1,0.1601,0.03764,0.75813,2.03611,0.99164,0.0009208,0.0009208,0.0009208
18,1043.23,0.64031,2.8493,1.09997,0.01303,1,0.05247,0.02654,0.56519,1.97566,0.91595,0.00091585,0.00091585,0.00091585
19,1101.54,0.39352,2.6491,0.92111,0.02312,1,0.28429,0.24539,0.39994,1.4186,0.75642,0.0009109,0.0009109,0.0009109
20,1159.15,0.53533,2.95483,0.92679,0.0396,1,0.33167,0.23848,0.33763,1.44854,0.71715,0.00090595,0.00090595,0.00090595
21,1217.51,0.43334,2.83844,0.86419,0.0367,1,0.22073,0.21067,0.2903,1.45228,0.6089,0.000901,0.000901,0.000901
