epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9443,2.37939,4.3286,3.04037,0.02112,0.33333,0.04681,0.01626,1.87729,3.97015,3.48163,0,0,0
2,21.0924,2.17422,4.15582,2.71815,0.02987,0.33333,0.06917,0.02983,1.5913,3.97604,3.47021,1.9802e-05,1.9802e-05,1.9802e-05
3,32.7691,1.93801,3.05083,2.48011,0.19655,0.33333,0.48731,0.22511,1.47762,4.35458,3.42738,3.9208e-05,3.9208e-05,3.9208e-05
4,43.7636,1.96698,2.73209,2.63982,0.92084,1,0.995,0.51097,1.59527,5.21809,3.39482,5.8218e-05,5.8218e-05,5.8218e-05
5,55.1135,1.91011,2.54647,2.43038,0.92648,1,0.995,0.48211,1.54209,9.69767,3.33274,7.6832e-05,7.6832e-05,7.6832e-05
6,65.4845,1.6525,2.63451,2.39803,0.96935,1,0.995,0.47729,1.57525,11.8566,3.18094,9.505e-05,9.505e-05,9.505e-05
7,75.7721,1.42527,2.24289,2.10941,1,0.96332,0.995,0.48533,1.54731,11.3831,3.10717,0.000112872,0.000112872,0.000112872
8,86.3633,1.74285,1.9189,2.13023,0.97491,1,0.995,0.49469,1.52898,10.6829,2.96064,0.000130298,0.000130298,0.000130298
9,96.7383,1.41362,1.74995,1.79563,0.94217,1,0.995,0.36874,1.7273,12.1689,3.0229,0.000147328,0.000147328,0.000147328
10,107.36,1.59721,2.15264,2.05406,0.93818,1,0.995,0.41883,1.58369,11.784,3.0019,0.000163962,0.000163962,0.000163962
11,117.849,1.1339,1.66662,1.65753,0.83961,1,0.995,0.44986,1.44104,9.80264,2.69516,0.0001802,0.0001802,0.0001802
12,128.208,1.21162,1.779,1.69635,1,0.98345,0.995,0.60162,1.47678,7.37637,2.73151,0.000196042,0.000196042,0.000196042
13,138.483,1.09052,1.65591,1.5329,0.98197,1,0.995,0.53681,1.63929,4.96539,2.91866,0.000211488,0.000211488,0.000211488
14,149.256,1.13106,1.39678,1.4828,0.97682,1,0.995,0.56485,1.66169,3.48268,2.93187,0.000226538,0.000226538,0.000226538
15,159.591,0.95518,1.20157,1.46142,0.98422,1,0.995,0.64137,1.46008,2.34993,2.53855,0.000241192,0.000241192,0.000241192
16,170.338,0.81243,1.32231,1.32003,0.98561,1,0.995,0.58657,1.62741,2.37473,2.51418,0.00025545,0.00025545,0.00025545
17,181.142,0.8431,1.10781,1.20501,0.96722,1,0.995,0.61978,1.42661,2.41933,2.2618,0.000269312,0.000269312,0.000269312
18,191.326,0.77404,1.00991,1.3387,0.96722,1,0.995,0.61978,1.42661,2.41933,2.2618,0.000282778,0.000282778,0.000282778
19,201.372,0.72456,1.02569,1.22631,0.98347,1,0.995,0.73832,1.07924,2.16952,2.00433,0.000295848,0.000295848,0.000295848
20,212.088,0.75668,1.24541,1.39122,0.98347,1,0.995,0.73832,1.07924,2.16952,2.00433,0.000308522,0.000308522,0.000308522
21,223.039,0.79211,1.03513,1.32684,1,0.99377,0.995,0.69417,1.11518,2.0468,1.862,0.0003208,0.0003208,0.0003208
22,232.847,0.86371,1.02292,1.3158,1,0.99377,0.995,0.69417,1.11518,2.0468,1.862,0.000332682,0.000332682,0.000332682
23,243.081,0.86965,1.00624,1.21856,0.74563,0.98253,0.9125,0.61835,0.92352,1.60639,1.9177,0.000344168,0.000344168,0.000344168
24,253.411,0.85037,0.97601,1.44735,0.74563,0.98253,0.9125,0.61835,0.92352,1.60639,1.9177,0.000355258,0.000355258,0.000355258
25,263.667,0.74643,0.90379,1.2732,0.9955,1,0.995,0.63678,1.03236,1.80974,1.97181,0.000365952,0.000365952,0.000365952
26,277.17,0.69988,0.78476,1.19173,0.9955,1,0.995,0.63678,1.03236,1.80974,1.97181,0.00037625,0.00037625,0.00037625
27,294.592,0.65864,0.67179,1.17634,1,0.9758,0.995,0.58229,1.09526,1.68438,1.91879,0.000386152,0.000386152,0.000386152
28,308.013,0.57321,0.76905,1.12099,1,0.9758,0.995,0.58229,1.09526,1.68438,1.91879,0.000395658,0.000395658,0.000395658
29,319.637,0.64347,0.7437,1.0912,1,0.9993,0.995,0.60164,0.9998,1.63148,1.66786,0.000404768,0.000404768,0.000404768
30,331.626,0.5794,0.72219,1.08454,1,0.9993,0.995,0.60164,0.9998,1.63148,1.66786,0.000413482,0.000413482,0.000413482
31,344.079,0.59923,0.84135,1.2097,0.94145,1,0.995,0.80758,0.67809,1.50154,1.30046,0.0004218,0.0004218,0.0004218
32,356.077,0.62748,0.65045,1.15473,0.94145,1,0.995,0.80758,0.67809,1.50154,1.30046,0.000429722,0.000429722,0.000429722
33,368.816,0.71754,0.74831,1.20724,0.83624,1,0.995,0.76305,0.79587,1.9045,1.44509,0.000437248,0.000437248,0.000437248
34,381.137,0.6039,0.69099,1.15715,0.83624,1,0.995,0.76305,0.79587,1.9045,1.44509,0.000444378,0.000444378,0.000444378
35,394.678,0.73579,0.67964,1.22603,0.72315,1,0.995,0.81882,0.66228,1.51758,1.27317,0.000451112,0.000451112,0.000451112
